Source,Headline,lower_headline,cleaned_text
BBC,Trump v the BBC: What are the hurdles for US president's legal argument?,trump v the bbc: what are the hurdles for us president's legal argument?,trump v the bbc what are the hurdles for us presidents legal argument
BBC,Cornet v the BBC: What are the hurdle for US president ' s sound contestation?,cornet v the bbc: what are the hurdle for us president ' s sound contestation?,cornet v the bbc what are the hurdle for us president  s sound contestation
BBC,"Israel has destroyed more than 1,500 buildings in Gaza since ceasefire","israel has destroyed more than 1,500 buildings in gaza since ceasefire",israel has destroyed more than  buildings in gaza since ceasefire
BBC,"Israel has destroyed more than than ace, 500 building in Gaza since ceasefire","israel has destroyed more than than ace, 500 building in gaza since ceasefire",israel has destroyed more than than ace  building in gaza since ceasefire
BBC,Trump v the BBC: What are the hurdle for u.s. president of the united states ' s effectual contestation?,trump v the bbc: what are the hurdle for u.s. president of the united states ' s effectual contestation?,trump v the bbc what are the hurdle for us president of the united states  s effectual contestation
BBC,"State of israel has destroyed more than 1, d buildings in Gaza strip since ceasefire","state of israel has destroyed more than 1, d buildings in gaza strip since ceasefire",state of israel has destroyed more than  d buildings in gaza strip since ceasefire
BBC,Trump says he has 'obligation' to sue BBC over speech edit,trump says he has 'obligation' to sue bbc over speech edit,trump says he has obligation to sue bbc over speech edit
BBC,Trump says he have got ' obligation ' to sue BBC complete language edit,trump says he have got ' obligation ' to sue bbc complete language edit,trump says he have got  obligation  to sue bbc complete language edit
BBC,"Starmer will fight attempts to replace him, allies say","starmer will fight attempts to replace him, allies say",starmer will fight attempts to replace him allies say
BBC,"Starmer leave fight attempts to supervene upon him, allies say","starmer leave fight attempts to supervene upon him, allies say",starmer leave fight attempts to supervene upon him allies say
BBC,"Suicide bombing in Islamabad kills 12, says Pakistan's interior minister","suicide bombing in islamabad kills 12, says pakistan's interior minister",suicide bombing in islamabad kills  says pakistans interior minister
BBC,"Self annihilation bombing in Capital of pakistan killing 12, says Pakistan ' s internal minister","self annihilation bombing in capital of pakistan killing 12, says pakistan ' s internal minister",self annihilation bombing in capital of pakistan killing  says pakistan  s internal minister
BBC,US aircraft carrier group arrives in Caribbean,us aircraft carrier group arrives in caribbean,us aircraft carrier group arrives in caribbean
BBC,united states of america aircraft carrier group arrives in Caribbean,united states of america aircraft carrier group arrives in caribbean,united states of america aircraft carrier group arrives in caribbean
BBC,Protesters break into COP30 venue in Brazil,protesters break into cop30 venue in brazil,protesters break into cop venue in brazil
BBC,Protesters transgress into COP30 locus in Brazil,protesters transgress into cop30 locus in brazil,protesters transgress into cop locus in brazil
BBC,Only from the BBC,only from the bbc,only from the bbc
BBC,Solely from the BBC,solely from the bbc,solely from the bbc
BBC,How Nasa spotted a tsunami in real time,how nasa spotted a tsunami in real time,how nasa spotted a tsunami in real time
BBC,How Nasa spotted a tsunami in genuine meter,how nasa spotted a tsunami in genuine meter,how nasa spotted a tsunami in genuine meter
BBC,How an Afghan child bride became one of Europe's top bodybuilders,how an afghan child bride became one of europe's top bodybuilders,how an afghan child bride became one of europes top bodybuilders
BBC,How an Afghan child st. brigid become one and only of Europe ' s top bodybuilder,how an afghan child st. brigid become one and only of europe ' s top bodybuilder,how an afghan child st brigid become one and only of europe  s top bodybuilder
BBC,More news,more news,more news
BBC,More intelligence,more intelligence,more intelligence
BBC,How Japan PM's Taiwan remarks provoked the fury of China,how japan pm's taiwan remarks provoked the fury of china,how japan pms taiwan remarks provoked the fury of china
BBC,How Japan post mortem ' s Taiwan remark provoked the fury of China,how japan post mortem ' s taiwan remark provoked the fury of china,how japan post mortem  s taiwan remark provoked the fury of china
BBC,Two popular gay dating platforms removed from Apple app store in China,two popular gay dating platforms removed from apple app store in china,two popular gay dating platforms removed from apple app store in china
BBC,Two popular homosexual dating platforms take away from Apple app store in Prc,two popular homosexual dating platforms take away from apple app store in prc,two popular homosexual dating platforms take away from apple app store in prc
BBC,Moment newly opened bridge partially collapses in China,moment newly opened bridge partially collapses in china,moment newly opened bridge partially collapses in china
